Opportunity Name,Level 2 Government,Bridge Name,Project Code,Stage,Sub-Stage,CaseSafeID,B2P Fiscal Year,latitude,longitude,Individuals Directly Served,Population Estimate 2000m
Rwanda - Ruhigiro - 1013375,Nyabihu,Ruhigiro,1013375,Identified,Technical,006f100000d7GrtAAE,2019,-1.65254,29.4929,1320,11292
Rwanda - Kigabiro 1 - 1014332,Kamonyi,Kigabiro 1,1014332,Identified,Technical,006f100000eesitAAA,2019,-1.964977,29.975556,3963,7411
Rwanda - Kwarasita - 1012809,Muhanga,Kwarasita,1012809,Identified,,006f100000d6kstAAA,2023,-1.92495,29.78201,2101,4119
Rwanda - Karenge - 1013752,Rulindo,Karenge,1013752,Identified,Technical,006f100000d7kmJAAQ,2019,-1.83068,29.90837,2772,5884
Rwanda - Kwa Munyarubuga - 1013255,Muhanga,Kwa Munyarubuga,1013255,Identified,,006f100000d761uAAA,2018,-1.87302569,29.67017014,3103,6569
Rwanda - Munazi - 1013260,Muhanga,Munazi,1013260,Identified,Technical,006f100000d762JAAQ,2018,-2.01273958,29.69851613,2581,6043
Rwanda - Zigati - 1013424,Nyamagabe,Zigati,1013424,Identified,Technical,006f100000d7JDWAA2,2018,-2.39188167,29.52233833,2136,2976
Rwanda - Gaseke - 1013726,Gisagara,Gaseke,1013726,Identified,Technical,006f100000d7jHKAAY,2019,-2.59415,29.77829,3182,11454
Rwanda - Nyamapfunda - 1013507,Huye,Nyamapfunda,1013507,Identified,Technical,006f100000d7QQnAAM,2019,-2.63352,29.62583,2832,5749
Rwanda - Nyabirehe~ Nyarubande - 1013466,Musanze,Nyabirehe~ Nyarubande,1013466,Identified,Technical,006f100000d7Q57AAE,2019,-1.548732,29.515524,7753,7823
Rwanda - Rufugwe - 1013472,Musanze,Rufugwe,1013472,Identified,Technical,006f100000d7Q5bAAE,2019,-1.543877,29.546123,5767,15657
Rwanda - Tububuro - 1013611,Nyamagabe,Tububuro,1013611,Identified,Technical,006f100000d7gjeAAA,2019,-2.59941667,29.56459167,2579,2537
Rwanda - Bukane - 1013343,Musanze,Bukane,1013343,Identified,Technical,006f100000d7EVdAAM,2019,-1.497265,29.616601,6321,20800
Rwanda - Ku mbuga ya 2 - 1013839,Kayonza,Ku mbuga ya 2,1013839,Identified,Technical,006f100000d7xzVAAQ,2019,-2.01757,30.48546,37321,2761
Rwanda - Matyazo - 1013369,Nyabihu,Matyazo,1013369,Identified,Technical,006f100000d7GrPAAU,2019,-1.64694,29.47735,4288,9686
Rwanda - Manjanja - 1013643,Rutsiro,Manjanja,1013643,Identified,Technical,006f100000d7iVLAAY,2019,-1.91805,29.43911,1373,5397
Rwanda - Nyakagezi-kariba - 1013655,Rutsiro,Nyakagezi-kariba,1013655,Identified,Technical,006f100000d7iXgAAI,2019,-1.84493,29.34447,635,6316
Rwanda - Kabingo - 1013601,Gakenke,Kabingo,1013601,Identified,Technical,006f100000d7cnFAAQ,2019,-1.73099,29.87352,1250,6828
Rwanda - Nyamiyaga - 1013577,Gisagara,Nyamiyaga,1013577,Identified,Technical,006f100000d7bAWAAY,2019,-2.52882,29.82786,1706,4778
Rwanda - Kamubuga - 1013684,Gakenke,Kamubuga,1013684,Identified,Technical,006f100000d7ieXAAQ,2019,-1.61659,29.7064,1400,8621
Rwanda - Gikombe - 1013707,Kayonza,Gikombe,1013707,Identified,Technical,006f100000d7jDNAAY,2019,-2.0901,30.65996,1603,4322
Rwanda - Ngoboka - 1013917,Rusizi,Ngoboka,1013917,Identified,Technical,006f100000d8AjZAAU,2019,-2.54047,28.95991,1753,8771
Rwanda - Munkamba - 1014025,Rusizi,Munkamba,1014025,Identified,Technical,006f100000d1f3lAAA,2019,-2.566146,29.144802,1403,2473
Rwanda - Nyabikeri - 1014031,Karongi,Nyabikeri,1014031,Complete,In Service,006f100000d1fMsAAI,2021,-2.209275,29.47145,4001,3755
